C000010,C000010_times,C000013,C000013_times,C000014,C000014_times,C000023,C000023_times,C000022,C000022_times,C000020,C000020_times
公司,142,医院,233,搜狐,275,中国,204,工作,326,发展,191
创维,91,检查,95,直播员,260,一个,185,一个,157,学生,180
市场,91,医生,92,比赛,168,小白,73,企业,108,学校,150
手机,88,患者,89,上半场,77,珍妃,73,公司,105,孩子,139
分类,76,治疗,78,国安队,70,女书,69,员工,100,经济,134
用户,73,药品,72,纳什,68,社会,63,公务员,94,教育,120
一个,64,医疗,63,下半场,66,美国,61,招聘,93,一个,99
信息,62,一个,62,第二节,55,住房,57,工资,93,建设,98
中国,57,疾病,56,跳投,52,贷款,56,生活,71,专业,93
服务,56,医药,52,篮板,51,生活,56,老板,71,考生,89
技术,56,产品,52,中国,49,文化,53,简历,67,招生,84
微软,56,健康,52,球员,45,日本,52,找到,62,社会,78
提供,55,女性,51,科比,45,一页,48,人才,58,工作,78
网络,52,精子,49,对手,44,一种,48,职业,56,东北,74
黄宏生,51,研究,47,防守,43,发展,45,策划,56,东北地区,73
产品,47,记者,44,重庆队,43,历史,40,时间,51,学习,72
王殿甫,45,傣药,43,比分,42,北京,40,女性,48,中国,68
亿美元,45,注射,43,犯规,42,国家,39,北京,47,考试,67
广告,44,专家,42,队员,41,女人,38,相关,47,国家,66
发展,42,市场,42,对方,41,民族,37,就业,47,绿色,64
时间,38,感染,42,第一节,40,毛泽东,35,加薪,46,就业,63
功能,37,工作,41,进攻,37,人口,35,一种,45,材料,55
网站,35,消费者,39,机会,36,世界,34,路芷佩,45,环境,55
企业,34,高血压,38,主场,36,华国锋,34,网页,42,哈工大,55
消息,34,企业,37,任意球,36,两个,33,毕业生,42,家长,52
业务,34,认证,37,一个,35,父亲,33,客户,42,政策,51
美国,34,中国,36,得分,35,作品,33,情况,41,能力,51
销售,32,发现,36,俱乐部,35,皇帝,32,面试,40,重点,49
改革,31,癌症,36,球队,34,光绪,32,选择,39,农村,49
消费者,31,咽喉,36,北京,31,慈禧,32,人员,39,我国,48
部门,31,发展,34,冠军,31,发现,31,专场,39,老师,48
全球,30,发生,34,参加,30,大黑,31,机会,38,资源,48
支持,29,宫颈,34,将球,30,太后,31,网络,38,产业,48
号段,29,单通,33,破坏,30,经济,29,求职,37,生态环境,47
记者,28,选择,32,联赛,29,晓军,29,职位,36,大学,46
核算,28,品牌,32,助攻,29,王总,29,能力,36,提高,44
推出,27,症状,32,禁区,29,情况,29,专业,35,影响,44
收支,27,药材,31,球迷,28,传统,27,发展,34,生态,44
方式,26,国家,31,热队,28,台湾,27,孩子,34,城市,43
康宁,26,卫生部,31,太阳队,28,军事,27,喜欢,33,情况,42
政府,25,口腔,30,中国队,27,斯大林,27,调查,33,全国,42
厂商,24,费用,30,网队,27,波伏瓦,27,很多,33,网络,42
行业,23,一种,30,再次,27,家庭,26,一页,32,很多,41
电信,23,增加,29,选手,26,女性,26,薪水,32,历史,40
服务器,23,人员,29,失误,26,工作,26,收入,32,教师,40
科技,22,很多,28,上篮,26,时间,26,研究生,32,建立,38
创新,22,生产,28,表现,25,欧大哥,26,家长,32,英语,38
工作,22,肾积水,28,记者,25,住宅,26,影响,31,录取,38
台湾,22,情况,27,领先,25,标准,25,调整,31,原因,38
潘鹏凯,22,男人,27,命中,25,城市,25,上海,31,志愿,38
静电,22,控制,26,时间,24,提出,25,美国,30,成绩,37
国内,21,政府,25,分钟,24,思想,25,领导,30,关系,36
万美元,21,公司,25,训练,24,文字,25,硕士,29,时间,36
英特尔,21,预防,25,三分,24,保护,25,大学,29,生活,36
分析师,21,病人,25,决赛,23,警察,25,同事,29,政府,35
平台,20,项目,24,门将,23,小倩,25,校园,29,方式,35
去年,20,临床,24,突破,23,小说,24,信息,28,基地,35
包括,20,常见,24,中场,23,西方,23,希望,28,正确,33
管理,20,身体,24,北京国安队,22,方式,23,中国,28,报考,33
通信,20,技术,23,迪奥,22,研究,23,跳槽,28,工业,33
运营商,20,我国,23,最终,21,王珍如,23,毕业,27,计划,33
利润,19,提高,23,体育,21,发生,22,一份,27,调整,32
软件,19,表现,23,太阳,21,老毒,22,国家,27,阅读,32
产业,18,导致,23,组织,21,部队,22,事情,26,高校,32
发布,18,作用,23,马里昂,21,说法,22,压力,26,毕业生,32
行政,18,服务,22,状态,20,分钱,22,告诉,25,思想,31
投资,18,肿瘤,22,结束,19,刘裕,22,心理,25,文章,31
设计,18,通用,22,排名,19,自由,21,销售,25,分析,31
北京,18,质量,22,反击,19,作者,21,关系,25,开发,31
设备,18,时间,22,进球,19,事情,21,提高,25,海洋,31
收入,18,病情,22,布朗,19,萨特,21,经验,24,人口,30
每股,18,诊断,22,公开赛,18,很多,20,大学生,24,参加,30
玻璃,18,检验,22,青岛,18,国内,20,编辑,24,人民,30
搜索,18,全科,22,替下,18,人民,20,学生,24,高考,29
聚君,18,药物,21,巴博萨,18,提供,20,享受,24,实行,29
一种,17,看病,21,张宁,17,南朝鲜,20,单位,24,同学,29
来说,17,食物,21,健身,17,人类,20,奖励,24,研究,28
资金,17,手术,21,快速,17,每斤,20,市场,23,治理,28
竞争,17,原因,21,阎相闯,17,设定,20,办公室,23,知识,28
生产,17,社区,21,谢杏芳,16,这一,19,社会,23,科学,27
苏宁,17,目的,20,实力,16,现象,19,学校,23,工程,27
显示,17,全国,20,绿城,16,几个,19,白领,23,国际,27
未来,17,相关,20,前场,16,记者,19,同学,23,世纪,27
合作,17,销售,20,得球,16,朝鲜,19,回答,23,水资源,27
开发,17,影响,20,主将,16,二奶,19,空姐,23,二氧化碳,27
第三,16,不少,20,夺得,15,林场,19,岗位,22,政治,27
增长,16,收入,20,一场,15,男人,18,培养,22,基础,26
上海,16,广告,20,击败,15,主席,18,原因,22,提出,26
数据,16,水牛,20,发挥,15,读者,18,方式,22,信息,26
基板,16,包括,19,世界,15,战争,18,应聘,22,主持人,26
英语,16,解决,19,优势,15,年代,18,提出,22,地区,26
模式,16,教授,19,阵容,15,官员,18,目标,22,一种,25
信息网,16,药业,19,本场,15,我国,17,感觉,21,变化,25
优势,15,方法,19,情况,15,拥有,17,搜索,21,来源,25
战略,15,中心,19,新华社,15,利益,17,招聘会,21,配置,25
相关,15,减少,19,拿下,15,解决,17,参加,21,协调,25
客户,15,人体,19,打出,15,只能,17,成功,21,父母,25
第一季度,15,因素,19,蔡赟,15,自然,17,包括,21,路由器,25
芯片,15,生活,19,付海峰,15,正是,17,发现,20,慕永国,25
亏损,15,护理液,19,休息,15,知青,17,搜狗,20,北京,24
